EXPORTED CROSS SECTION DATA
504 2 2
x coordinate
Electron Conc
4.8260000000e-02 3.9449069708e+06 
4.8350000000e-02 3.9456436272e+06 
4.8360000000e-02 3.9457582004e+06 
4.8450000000e-02 3.9464939132e+06 
4.8460000000e-02 3.9466083192e+06 
4.8550000000e-02 3.9473430794e+06 
4.8560000000e-02 3.9474573194e+06 
4.8650000000e-02 3.9481911268e+06 
4.8660000000e-02 3.9483051997e+06 
4.8750000000e-02 3.9490380456e+06 
4.8760000000e-02 3.9491519504e+06 
4.8850000000e-02 3.9498838346e+06 
4.8860000000e-02 3.9499975713e+06 
4.8950000000e-02 3.9507284938e+06 
4.8960000000e-02 3.9508420624e+06 
4.9050000000e-02 3.9515720143e+06 
4.9060000000e-02 3.9516854148e+06 
4.9150000000e-02 3.9524144051e+06 
4.9160000000e-02 3.9525276365e+06 
4.9250000000e-02 3.9532556561e+06 
4.9260000000e-02 3.9533687173e+06 
4.9350000000e-02 3.9540957663e+06 
4.9360000000e-02 3.9542086595e+06 
4.9450000000e-02 3.9549347289e+06 
4.9460000000e-02 3.9550474509e+06 
4.9550000000e-02 3.9557725496e+06 
4.9560000000e-02 3.9558851015e+06 
4.9650000000e-02 3.9566092116e+06 
4.9660000000e-02 3.9567215934e+06 
4.9750000000e-02 3.9574447239e+06 
4.9760000000e-02 3.9575569356e+06 
4.9850000000e-02 3.9582790775e+06 
4.9860000000e-02 3.9583911170e+06 
4.9950000000e-02 3.9591122792e+06 
4.9960000000e-02 3.9592241466e+06 
5.0050000000e-02 3.9599443113e+06 
5.0060000000e-02 3.9600560075e+06 
5.0150000000e-02 3.9607751746e+06 
5.0160000000e-02 3.9608866986e+06 
5.0250000000e-02 3.9616048771e+06 
5.0260000000e-02 3.9617148295e+06 
5.0350000000e-02 3.9624229961e+06 
5.0360000000e-02 3.9625379763e+06 
5.0460000000e-02 3.9632786411e+06 
5.0470000000e-02 3.9633988690e+06 
5.0570000000e-02 3.9641734610e+06 
5.0580000000e-02 3.9642991653e+06 
5.0680000000e-02 3.9651091944e+06 
5.0690000000e-02 3.9652406142e+06 
5.0800000000e-02 3.9660876172e+06 
5.0810000000e-02 3.9662249975e+06 
5.0920000000e-02 3.9671105832e+06 
5.0940000000e-02 3.9672541811e+06 
5.1050000000e-02 3.9681800391e+06 
5.1070000000e-02 3.9683301201e+06 
5.1190000000e-02 3.9692979670e+06 
