EXPORTED CROSS SECTION DATA
513 4 4
x coordinate
Electron QFL
Valence Band Energy
Conduction Band Energy
4.1010000000e-02 1.5867591274e-17 -1.4188067089e+00 3.6754382820e-03 
4.1020000000e-02 1.5595108309e-17 -1.4187710765e+00 3.7110707471e-03 
4.1110000000e-02 1.6258150214e-17 -1.4183376043e+00 4.1445371976e-03 
4.1120000000e-02 1.6803116143e-17 -1.4183022772e+00 4.1798641130e-03 
4.1210000000e-02 1.2824864805e-17 -1.4178725290e+00 4.6096159632e-03 
4.1220000000e-02 1.3151844362e-17 -1.4178375034e+00 4.6446417599e-03 
4.1310000000e-02 1.3814886267e-17 -1.4174114144e+00 5.0707328541e-03 
4.1320000000e-02 1.3324416931e-17 -1.4173766851e+00 5.1054618756e-03 
4.1410000000e-02 1.7302668177e-17 -1.4169541999e+00 5.5279449863e-03 
4.1420000000e-02 1.7629647733e-17 -1.4169197637e+00 5.5623814851e-03 
4.1510000000e-02 1.2325312770e-17 -1.4165008361e+00 5.9813083223e-03 
4.1520000000e-02 1.2161822992e-17 -1.4164666877e+00 6.0154564701e-03 
4.1610000000e-02 1.7466157955e-17 -1.4160512623e+00 6.4308777087e-03 
4.1620000000e-02 1.7793137512e-17 -1.4160173987e+00 6.4647415895e-03 
4.1710000000e-02 1.3151844362e-17 -1.4156054385e+00 6.8767068695e-03 
4.1720000000e-02 1.2933857990e-17 -1.4155718544e+00 6.9102904895e-03 
4.1810000000e-02 1.0281690462e-17 -1.4151632947e+00 7.3188484991e-03 
4.1820000000e-02 9.9547109056e-18 -1.4151299878e+00 7.3521557834e-03 
4.1910000000e-02 9.9547109056e-18 -1.4147247916e+00 7.7573542129e-03 
4.1920000000e-02 1.0608670019e-17 -1.4146917567e+00 7.7903890091e-03 
4.2010000000e-02 6.6304187827e-18 -1.4142898686e+00 8.1922746339e-03 
4.2020000000e-02 6.4124324113e-18 -1.4142571025e+00 8.2250407159e-03 
4.2110000000e-02 1.1716767458e-17 -1.4138584856e+00 8.6236593875e-03 
4.2120000000e-02 1.2043747014e-17 -1.4138259846e+00 8.6561604541e-03 
4.2210000000e-02 4.0872444586e-18 -1.4134305833e+00 9.0515571181e-03 
4.2220000000e-02 3.7602649019e-18 -1.4133983435e+00 9.0837967951e-03 
4.2310000000e-02 1.1716767458e-17 -1.4130061303e+00 9.4760155381e-03 
4.2320000000e-02 1.3242672054e-17 -1.4129741480e+00 9.5079973844e-03 
4.2410000000e-02 1.3242672054e-17 -1.4125850580e+00 9.8970814243e-03 
4.2420000000e-02 1.2261733386e-17 -1.4125533309e+00 9.9288089230e-03 
4.2510000000e-02 2.4196487215e-17 -1.4121673457e+00 1.0314800637e-02 
4.2520000000e-02 2.4305480400e-17 -1.4121358692e+00 1.0346277222e-02 
4.2610000000e-02 1.7675061627e-17 -1.4117529242e+00 1.0729218311e-02 
4.2620000000e-02 1.8002041184e-17 -1.4117216946e+00 1.0760447324e-02 
4.2710000000e-02 1.5349873656e-17 -1.4113417619e+00 1.1140378411e-02 
4.2720000000e-02 1.5567860028e-17 -1.4113107776e+00 1.1171363156e-02 
4.2810000000e-02 1.0263524972e-17 -1.4109338204e+00 1.1548324252e-02 
4.2820000000e-02 1.0045538600e-17 -1.4109030768e+00 1.1579067948e-02 
4.2910000000e-02 1.1371622318e-17 -1.4105290489e+00 1.1953098418e-02 
4.2920000000e-02 9.9547109056e-18 -1.4104985430e+00 1.1983604241e-02 
4.3010000000e-02 8.6286271878e-18 -1.4101273981e+00 1.2354742616e-02 
4.3020000000e-02 9.1735931159e-18 -1.4100971270e+00 1.2385013672e-02 
4.3110000000e-02 7.8475093613e-18 -1.4097288466e+00 1.2753297563e-02 
4.3120000000e-02 7.9565025466e-18 -1.4096988071e+00 1.2783336905e-02 
4.3210000000e-02 2.1217340130e-17 -1.4093333358e+00 1.3148803643e-02 
4.3220000000e-02 2.0999353759e-17 -1.4093035249e+00 1.3178614263e-02 
4.3310000000e-02 1.5695018703e-17 -1.4089408443e+00 1.3541299978e-02 
4.3320000000e-02 1.6130991446e-17 -1.4089112597e+00 1.3570884824e-02 
4.3410000000e-02 8.1744889180e-18 -1.4085513143e+00 1.3930825462e-02 
4.3420000000e-02 8.1744889180e-18 -1.4085219523e+00 1.3960187411e-02 
4.3510000000e-02 1.0826656390e-17 -1.4081647235e+00 1.4317417901e-02 
4.3520000000e-02 9.7367245380e-18 -1.4081355818e+00 1.4346559780e-02 
4.3610000000e-02 1.2388892066e-17 -1.4077810328e+00 1.4701114589e-02 
4.3620000000e-02 1.2824864805e-17 -1.4077521082e+00 1.4730039191e-02 
4.3710000000e-02 1.5477032333e-17 -1.4074001928e+00 1.5081952047e-02 
4.3720000000e-02 1.5913005075e-17 -1.4073714824e+00 1.5110662100e-02 
4.3810000000e-02 2.1217340130e-17 -1.4070221728e+00 1.5459966361e-02 
4.3820000000e-02 2.1217340130e-17 -1.4069936751e+00 1.5488464538e-02 
4.3910000000e-02 1.5913005075e-17 -1.4066469528e+00 1.5835192546e-02 
4.3920000000e-02 1.6566964188e-17 -1.4066186639e+00 1.5863481475e-02 
4.4010000000e-02 1.6566964188e-17 -1.4062744735e+00 1.6207665294e-02 
4.4020000000e-02 1.6130991446e-17 -1.4062463913e+00 1.6235747572e-02 
4.4110000000e-02 1.3478823918e-17 -1.4059047235e+00 1.6577418713e-02 
4.4120000000e-02 1.3260837547e-17 -1.4058768448e+00 1.6605296877e-02 
4.4210000000e-02 1.5913005075e-17 -1.4055376535e+00 1.6944486110e-02 
4.4220000000e-02 1.6566964188e-17 -1.4055099776e+00 1.6972162644e-02 
4.4310000000e-02 1.6566964188e-17 -1.4051732443e+00 1.7308900186e-02 
4.4320000000e-02 1.5913005075e-17 -1.4051457666e+00 1.7336377543e-02 
4.4410000000e-02 1.5913005075e-17 -1.4048114451e+00 1.7670693333e-02 
4.4420000000e-02 1.5913005075e-17 -1.4047841648e+00 1.7697973928e-02 
4.4510000000e-02 1.8565172603e-17 -1.4044522458e+00 1.8029897166e-02 
4.4520000000e-02 1.9437118084e-17 -1.4044251592e+00 1.8056983346e-02 
4.4610000000e-02 2.2089285611e-17 -1.4040955966e+00 1.8386542677e-02 
4.4620000000e-02 2.2089285611e-17 -1.4040687029e+00 1.8413436781e-02 
4.4710000000e-02 1.6784950556e-17 -1.4037414873e+00 1.8740660390e-02 
4.4720000000e-02 1.6566964188e-17 -1.4037147828e+00 1.8767364689e-02 
4.4810000000e-02 1.9219131716e-17 -1.4033898589e+00 1.9092280481e-02 
4.4820000000e-02 1.9873090828e-17 -1.4033633419e+00 1.9118797223e-02 
4.4910000000e-02 1.9873090828e-17 -1.4030407096e+00 1.9441432273e-02 
